patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9534883720930233,0.9979152189020153,0.9757017954975192,0.9318181818181818,0.9966261808367072
chb02,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",1.0,1.0,1.0,1.0,1.0
chb03,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8461538461538461,0.9944405837387075,0.9202972149462768,0.8048780487804879,0.9905277401894452
chb04,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5405405405405406,0.9968217278243282,0.7686811341824343,0.6451612903225806,0.9919954259576901
chb05,knn,"{'clf__n_neighbors': 8, 'clf__p': 2, 'clf__weights': 'distance'}",0.8181818181818182,1.0,0.9090909090909092,1.0,0.9933065595716198
chb06,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.07142857142857142,0.9989182172219818,0.5351733943252767,0.16666666666666666,0.9961173425366695
chb07,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.78125,0.9990208078335373,0.8901354039167686,0.8620689655172413,0.9973281515666748
chb08,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.6593406593406593,0.9868147120055517,0.8230776856731055,0.759493670886076,0.9673629242819843
chb09,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9259259259259259,1.0,0.962962962962963,1.0,0.999315537303217
chb10,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9318181818181818,1.0,0.9659090909090908,1.0,0.9989736572015053
chb11,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9625,0.9990732159406858,0.9807866079703428,0.9871794871794872,0.996548748921484
chb13,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6538461538461539,0.9784572619874913,0.8161517079168225,0.5230769230769231,0.9671361502347418
chb14,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.25,0.9979152189020153,0.6239576094510076,0.5714285714285714,0.9896907216494846
chb15,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.41116751269035534,0.9318971507991661,0.6715323317447608,0.45251396648044695,0.8691931540342298
chb16,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.42857142857142855,0.9986101459346769,0.7135907872530528,0.6,0.995850622406639
chb17,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.4642857142857143,0.9916589434661723,0.7279723288759434,0.5909090909090909,0.978319783197832
chb18,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8709677419354839,0.9937456567060459,0.9323566993207649,0.75,0.991156462585034
chb19,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9130434782608695,0.9972196478220574,0.9551315630414635,0.875,0.9954627949183303
chb20,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7142857142857143,0.9972202918693537,0.8557530030775341,0.8333333333333334,0.9918200408997955
chb21,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.42105263157894735,0.9958304378040306,0.708441534691489,0.5714285714285714,0.9883401920438958
chb22,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8,1.0,0.9,1.0,0.9963603275705186
chb23,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.6585365853658537,0.9959349593495935,0.8272357723577237,0.675,0.9916640938561284
