patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",1.0,0.9709302325581395,0.9854651162790697,0.8958333333333334,0.9767441860465116
chb02,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 100}",1.0,1.0,1.0,1.0,1.0
chb03,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 300}",1.0,0.9871794871794872,0.9935897435897436,0.9512195121951219,0.9897435897435898
chb04,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.918918918918919,0.9261744966442953,0.9225467077816071,0.7555555555555555,0.9247311827956989
chb05,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 200}",0.9636363636363636,1.0,0.9818181818181818,1.0,0.9927536231884058
chb06,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.8571428571428571,0.7241379310344828,0.7906403940886699,0.42857142857142855,0.75
chb07,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.90625,1.0,0.953125,1.0,0.98125
chb08,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.8461538461538461,0.9342465753424658,0.890200210748156,0.7623762376237624,0.9166666666666666
chb09,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",1.0,0.9908256880733946,0.9954128440366973,0.9642857142857143,0.9926470588235294
chb10,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.9772727272727273,1.0,0.9886363636363636,1.0,0.9954545454545455
chb11,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 200}",1.0,0.965625,0.9828125,0.8791208791208791,0.9725
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.8076923076923077,0.9230769230769231,0.8653846153846154,0.7241379310344828,0.9
chb14,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.8125,0.8,0.8062500000000001,0.5,0.8024691358024691
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.8071065989847716,0.7322335025380711,0.7696700507614214,0.4297297297297297,0.7472081218274111
chb16,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 100}",1.0,0.9285714285714286,0.9642857142857143,0.7777777777777778,0.9428571428571428
chb17,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 500}",0.8571428571428571,0.8521739130434782,0.8546583850931677,0.5853658536585366,0.8531468531468531
chb18,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",1.0,0.992,0.996,0.96875,0.9935897435897436
chb19,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 100}",1.0,0.946236559139785,0.9731182795698925,0.8214285714285714,0.9568965517241379
chb20,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.8928571428571429,0.956140350877193,0.9244987468671678,0.8333333333333334,0.9436619718309859
chb21,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.9473684210526315,0.9487179487179487,0.94804318488529,0.8181818181818182,0.9484536082474226
chb22,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 100}",0.9,1.0,0.95,1.0,0.9801980198019802
chb23,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.975609756097561,0.9281437125748503,0.9518767343362056,0.7692307692307693,0.9375
