patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.8604651162790697,0.9993050729673384,0.929885094623204,0.9736842105263158,0.99527665317139
chb02,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0
chb03,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9230769230769231,0.9937456567060459,0.9584112898914845,0.8,0.9918809201623816
chb04,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.5405405405405406,0.9991331984975441,0.7698368695190423,0.8695652173913043,0.9942824471126358
chb05,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8909090909090909,0.9993050729673384,0.9451070819382146,0.98,0.9953145917001339
chb06,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.35714285714285715,0.9989182172219818,0.6780305371824195,0.5,0.9969801553062986
chb07,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.75,0.998531211750306,0.874265605875153,0.8,0.9965994656303133
chb08,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.6153846153846154,0.9909784871616932,0.8031815512731544,0.8115942028985508,0.9686684073107049
chb09,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.9259259259259259,1.0,0.962962962962963,1.0,0.999315537303217
chb10,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9545454545454546,1.0,0.9772727272727273,1.0,0.9993157714676703
chb11,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9625,0.9972196478220574,0.9798598239110285,0.9625,0.994823123382226
chb13,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.6153846153846154,0.9916608756080612,0.8035227454963383,0.7272727272727273,0.9785378940308518
chb14,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.4375,0.9944405837387075,0.7159702918693537,0.4666666666666667,0.9883161512027492
chb15,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.350253807106599,0.9617790132036136,0.6560164101551063,0.5564516129032258,0.8881418092909535
chb16,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.2857142857142857,1.0,0.6428571428571428,1.0,0.9965421853388658
chb17,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.21428571428571427,0.9916589434661723,0.6029723288759432,0.4,0.971996386630533
chb18,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8064516129032258,0.9993050729673384,0.9028783429352821,0.9615384615384616,0.9952380952380953
chb19,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.8260869565217391,0.9981464318813716,0.9121166942015555,0.9047619047619048,0.9945553539019963
chb20,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.75,0.9979152189020153,0.8739576094510076,0.875,0.9931833674164963
chb21,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.5263157894736842,0.9937456567060459,0.760030723089865,0.5263157894736842,0.9876543209876543
chb22,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9,1.0,0.95,1.0,0.9981801637852593
chb23,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.6341463414634146,0.9968730456535334,0.815509693558474,0.7222222222222222,0.9922815683853041
