patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9302325581395349,0.998262682418346,0.9642476202789404,0.9411764705882353,0.9962887989203779
chb02,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.9411764705882353,0.9972202918693537,0.9691983812287945,0.8,0.9965659340659341
chb03,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8205128205128205,0.9965253648366922,0.9085190926747563,0.8648648648648649,0.9918809201623816
chb04,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5405405405405406,0.9981219300780121,0.7693312353092764,0.7547169811320755,0.993281875357347
chb05,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8636363636363636,0.9993050729673384,0.9314707183018511,0.979381443298969,0.9943105756358769
chb06,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.10344827586206896,0.9990263954997837,0.5512373356809264,0.25,0.9962256012078076
chb07,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.875,0.9987760097919217,0.9368880048959609,0.8484848484848485,0.9978139421909157
chb08,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6813186813186813,0.9736294240111034,0.8274740526648924,0.62,0.956266318537859
chb09,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8703703703703703,1.0,0.9351851851851851,1.0,0.9988021902806297
chb10,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9318181818181818,1.0,0.9659090909090908,1.0,0.9989736572015053
chb11,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.9625,0.9990732159406858,0.9807866079703428,0.9871794871794872,0.996548748921484
chb13,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5,0.9840166782487839,0.742008339124392,0.5306122448979592,0.9671361502347418
chb14,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.40625,0.9947880472550382,0.7005190236275192,0.4642857142857143,0.9883161512027492
chb15,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.383248730964467,0.9273801250868658,0.6553144280256663,0.41944444444444445,0.8618581907090465
chb16,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.42857142857142855,0.9986101459346769,0.7135907872530528,0.6,0.995850622406639
chb17,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3508771929824561,0.9865616311399444,0.6687194120612002,0.40816326530612246,0.9702031602708804
chb18,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8709677419354839,0.9961779013203613,0.9335728216279227,0.8307692307692308,0.9935374149659864
chb19,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.7608695652173914,0.9981464318813716,0.8795079985493816,0.8974358974358975,0.9931941923774955
chb20,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.7719298245614035,0.9975677553856845,0.8847487899735441,0.8627450980392157,0.9931856899488927
chb21,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.38461538461538464,0.9965253648366922,0.6905703747260384,0.6,0.9883441892355159
chb22,knn,"{'clf__n_neighbors': 8, 'clf__p': 1, 'clf__weights': 'distance'}",0.875,0.9981464318813716,0.9365732159406858,0.8974358974358975,0.9959053685168335
chb23,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5542168674698795,0.9970298577458183,0.7756233626078488,0.7076923076923077,0.991358024691358
