patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 300}",0.8953488372093024,0.9993050729673384,0.9473269550883203,0.9746835443037974,0.9962887989203779
chb02,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.9411764705882353,0.9986101459346769,0.9698933082614561,0.8888888888888888,0.9979395604395604
chb03,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 400}",0.8589743589743589,0.9958304378040306,0.9274023983891948,0.8481012658227848,0.9922192151556157
chb04,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 400}",0.5540540540540541,0.999855533082924,0.776954793568489,0.9761904761904762,0.9951400800457404
chb05,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 400}",0.8636363636363636,0.9993050729673384,0.9314707183018511,0.979381443298969,0.9943105756358769
chb06,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.034482758620689655,1.0,0.5172413793103449,1.0,0.9969804809662461
chb07,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.859375,0.999265605875153,0.9293203029375765,0.9016393442622951,0.9981782851590965
chb08,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.6428571428571429,0.9961832061068703,0.8195201744820066,0.9140625,0.9751958224543081
chb09,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.8888888888888888,1.0,0.9444444444444444,1.0,0.9989733059548255
chb10,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",0.9431818181818182,1.0,0.9715909090909092,1.0,0.9991447143345877
chb11,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 100}",0.96875,0.9990732159406858,0.9839116079703429,0.9872611464968153,0.9969801553062986
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.34615384615384615,0.9996525364836693,0.6729031913187578,0.972972972972973,0.9768611670020121
chb14,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.59375,0.9996525364836693,0.7967012682418347,0.95,0.9951890034364261
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.24111675126903553,0.9857539958304378,0.6134353735497367,0.6985294117647058,0.8960880195599022
chb16,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.0,1.0,0.5,nan,0.9951590594744122
chb17,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.2631578947368421,0.9995366079703429,0.6313472513535925,0.9375,0.98058690744921
chb18,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.8225806451612904,0.9986101459346769,0.9105953955479836,0.9272727272727272,0.9948979591836735
chb19,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.717391304347826,0.9958294717330862,0.8566103880404562,0.7857142857142857,0.9900181488203267
chb20,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.8070175438596491,0.9989576094510076,0.9029875766553283,0.9387755102040817,0.9952299829642248
chb21,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.2564102564102564,0.9996525364836693,0.6280313964469628,0.9090909090909091,0.9897154610901612
chb22,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.825,0.9986098239110287,0.9118049119555143,0.9166666666666666,0.9954504094631483
chb23,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.5542168674698795,0.998749413787713,0.7764831406287962,0.8518518518518519,0.9930555555555556
