patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9709302325581395,0.9825581395348837,0.9767441860465116,0.9823529411764705,0.9767441860465116
chb02,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9428571428571428,0.8,0.8714285714285714,0.825,0.8714285714285714
chb03,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487
chb04,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.7583892617449665,0.9194630872483222,0.8389261744966443,0.904,0.8389261744966443
chb05,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.9683257918552036,0.9638009049773756,0.9660633484162896,0.963963963963964,0.9660633484162896
chb06,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.6551724137931034,0.8103448275862069,0.7327586206896551,0.7755102040816326,0.7327586206896551
chb07,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9375,0.9765625,0.95703125,0.975609756097561,0.95703125
chb08,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8547945205479452,0.8958904109589041,0.8753424657534247,0.8914285714285715,0.8753424657534247
chb09,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.981651376146789,0.963302752293578,0.9724770642201835,0.963963963963964,0.9724770642201835
chb10,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9545454545454546,1.0,0.9772727272727273,1.0,0.9772727272727273
chb11,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.971875,0.99375,0.9828125000000001,0.9936102236421726,0.9828125
chb13,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8365384615384616,0.8701923076923077,0.8533653846153847,0.8656716417910447,0.8533653846153846
chb14,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8923076923076924,0.7846153846153846,0.8384615384615384,0.8055555555555556,0.8384615384615385
chb15,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.7766497461928934,0.7347715736040609,0.7557106598984773,0.7454323995127893,0.7557106598984772
chb16,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.6428571428571429,0.75,0.6964285714285715,0.72,0.6964285714285714
chb17,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.6956521739130435,0.7739130434782608,0.734782608695652,0.7547169811320755,0.7347826086956522
chb18,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.88,0.96,0.9199999999999998,0.9565217391304348,0.92
chb19,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8172043010752689,0.967741935483871,0.89247311827957,0.9620253164556962,0.8924731182795699
chb20,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9035087719298246,0.9210526315789473,0.9122807017543859,0.9196428571428571,0.9122807017543859
chb21,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8461538461538461,0.8076923076923077,0.826923076923077,0.8148148148148148,0.8269230769230769
chb22,svm_rbf,"{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8888888888888888,1.0,0.9444444444444444,1.0,0.9444444444444444
chb23,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9461077844311377,0.9640718562874252,0.9550898203592816,0.9634146341463414,0.9550898203592815
