patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9302325581395349,0.9972202918693537,0.9637264250044442,0.9090909090909091,0.99527665317139
chb02,knn,"{'clf__n_neighbors': 4, 'clf__p': 2, 'clf__weights': 'distance'}",0.625,1.0,0.8125,1.0,0.9958734525447043
chb03,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.5128205128205128,0.9986101459346769,0.7557153293775948,0.9090909090909091,0.9857916102841678
chb04,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6486486486486487,0.9971106616584802,0.8228796551535644,0.7058823529411765,0.9934248141795312
chb05,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.9454545454545454,0.9972202918693537,0.9713374186619494,0.9285714285714286,0.9953145917001339
chb06,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.2857142857142857,0.9989182172219818,0.6423162514681336,0.4444444444444444,0.9967644521138913
chb07,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.84375,0.9990208078335373,0.9213854039167687,0.8709677419354839,0.9978139421909157
chb08,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'distance'}",0.34065934065934067,1.0,0.6703296703296704,1.0,0.9608355091383812
chb09,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8888888888888888,1.0,0.9444444444444444,1.0,0.9989733059548255
chb10,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9318181818181818,1.0,0.9659090909090908,1.0,0.9989736572015053
chb11,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.95,0.9981464318813716,0.9740732159406857,0.9743589743589743,0.994823123382226
chb13,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.40384615384615385,0.9819318971507992,0.6928890254984765,0.44680851063829785,0.9617706237424547
chb14,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.25,1.0,0.625,1.0,0.9917525773195877
chb15,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.34517766497461927,0.9193884642112579,0.6322830645929385,0.3695652173913043,0.8502444987775061
chb16,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.42857142857142855,0.9986101459346769,0.7135907872530528,0.6,0.995850622406639
chb17,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.42857142857142855,0.9814643188137164,0.7050178736925725,0.375,0.967479674796748
chb18,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8387096774193549,0.9979152189020153,0.9183124481606851,0.896551724137931,0.9945578231292517
chb19,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8695652173913043,0.9990732159406858,0.9343192166659949,0.9523809523809523,0.9963702359346642
chb20,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.7857142857142857,0.9958304378040306,0.8907723617591581,0.7857142857142857,0.9918200408997955
chb21,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.47368421052631576,0.9937456567060459,0.7337149336161808,0.5,0.9869684499314129
chb22,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.85,1.0,0.925,1.0,0.997270245677889
chb23,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.6341463414634146,0.9946841776110069,0.8144152595372108,0.6046511627906976,0.9901204075331893
