patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",1.0,1.0,1.0,1.0,1.0
chb02,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.875,1.0,0.9375,1.0,0.96
chb03,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 200}",1.0,0.9487179487179487,0.9743589743589743,0.9069767441860465,0.9658119658119658
chb04,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 200}",0.9459459459459459,0.972972972972973,0.9594594594594595,0.9459459459459459,0.963963963963964
chb05,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.9454545454545454,1.0,0.9727272727272727,1.0,0.9818181818181818
chb06,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 300}",0.6428571428571429,1.0,0.8214285714285714,1.0,0.8837209302325582
chb07,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.9375,0.984375,0.9609375,0.967741935483871,0.96875
chb08,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.8461538461538461,0.9725274725274725,0.9093406593406594,0.9390243902439024,0.9304029304029304
chb09,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",0.9259259259259259,1.0,0.962962962962963,1.0,0.9753086419753086
chb10,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 200}",1.0,1.0,1.0,1.0,1.0
chb11,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 300}",0.975,0.98125,0.978125,0.9629629629629629,0.9791666666666666
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.8461538461538461,0.9230769230769231,0.8846153846153848,0.8461538461538461,0.8974358974358975
chb14,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.9375,0.9375,0.9375,0.8823529411764706,0.9375
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 100}",0.5634517766497462,0.9060913705583756,0.7347715736040609,0.75,0.7918781725888325
chb16,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.7142857142857143,0.8571428571428571,0.7857142857142858,0.7142857142857143,0.8095238095238095
chb17,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.8214285714285714,0.8947368421052632,0.8580827067669173,0.7931034482758621,0.8705882352941177
chb18,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 200}",0.967741935483871,0.9838709677419355,0.9758064516129032,0.967741935483871,0.978494623655914
chb19,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",1.0,0.9782608695652174,0.9891304347826088,0.9583333333333334,0.9855072463768116
chb20,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",0.8928571428571429,0.9649122807017544,0.9288847117794485,0.9259259259259259,0.9411764705882353
chb21,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 300}",0.6842105263157895,0.9743589743589743,0.8292847503373819,0.9285714285714286,0.8793103448275862
chb22,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",1.0,1.0,1.0,1.0,1.0
chb23,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 500}",0.926829268292683,0.9518072289156626,0.9393182486041727,0.9047619047619048,0.9435483870967742
