patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.9767441860465116,0.9883720930232558,0.9825581395348837,0.9767441860465116,0.9844961240310077
chb02,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.875,1.0,0.9375,1.0,0.96
chb03,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8461538461538461,0.9743589743589743,0.9102564102564104,0.9428571428571428,0.9316239316239316
chb04,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8378378378378378,0.9324324324324325,0.8851351351351351,0.8611111111111112,0.9009009009009009
chb05,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9636363636363636,0.9818181818181818,0.9727272727272728,0.9636363636363636,0.9757575757575757
chb06,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.7142857142857143,0.8275862068965517,0.770935960591133,0.6666666666666666,0.7906976744186046
chb07,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9375,1.0,0.96875,1.0,0.9791666666666666
chb08,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8681318681318682,0.967032967032967,0.9175824175824175,0.9294117647058824,0.9340659340659341
chb09,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9259259259259259,0.9814814814814815,0.9537037037037037,0.9615384615384616,0.9629629629629629
chb10,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",1.0,0.9886363636363636,0.9943181818181819,0.9777777777777777,0.9924242424242424
chb11,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.9875,0.99375,0.990625,0.9875,0.9916666666666667
chb13,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8846153846153846,0.9038461538461539,0.8942307692307693,0.8214285714285714,0.8974358974358975
chb14,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",1.0,0.90625,0.953125,0.8421052631578947,0.9375
chb15,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.5025380710659898,0.9187817258883249,0.7106598984771574,0.7557251908396947,0.7800338409475466
chb16,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.5714285714285714,0.9285714285714286,0.75,0.8,0.8095238095238095
chb17,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.6785714285714286,0.9473684210526315,0.8129699248120302,0.8636363636363636,0.8588235294117647
chb18,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",1.0,0.9838709677419355,0.9919354838709677,0.96875,0.989247311827957
chb19,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.8695652173913043,1.0,0.9347826086956521,1.0,0.9565217391304348
chb20,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8928571428571429,1.0,0.9464285714285714,1.0,0.9647058823529412
chb21,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.8421052631578947,0.8974358974358975,0.869770580296896,0.8,0.8793103448275862
chb22,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0
chb23,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.926829268292683,0.9879518072289156,0.9573905377607993,0.9743589743589743,0.967741935483871
