patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,knn,"{'clf__n_neighbors': 2, 'clf__p': 2, 'clf__weights': 'uniform'}",0.9534883720930233,1.0,0.9767441860465116,1.0,0.9767441860465116
chb02,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'uniform'}",0.875,1.0,0.9375,1.0,0.9375
chb03,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'distance'}",0.9230769230769231,0.9743589743589743,0.9487179487179487,0.972972972972973,0.9487179487179487
chb04,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.8648648648648649,0.918918918918919,0.8918918918918919,0.9142857142857143,0.8918918918918919
chb05,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.9454545454545454,0.9636363636363636,0.9545454545454545,0.9629629629629629,0.9545454545454546
chb06,knn,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.7142857142857143,0.8571428571428571,0.7857142857142858,0.8333333333333334,0.7857142857142857
chb07,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.96875,1.0,0.984375,1.0,0.984375
chb08,knn,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.8351648351648352,0.9120879120879121,0.8736263736263736,0.9047619047619048,0.8736263736263736
chb09,knn,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.9629629629629629,1.0,0.9814814814814814,1.0,0.9814814814814815
chb10,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",1.0,0.9545454545454546,0.9772727272727273,0.9565217391304348,0.9772727272727273
chb11,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9625,1.0,0.98125,1.0,0.98125
chb13,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8653846153846154
chb14,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.875,0.8125,0.84375,0.8235294117647058,0.84375
chb15,knn,"{'clf__n_neighbors': 6, 'clf__p': 1, 'clf__weights': 'distance'}",0.7614213197969543,0.7055837563451777,0.7335025380710659,0.7211538461538461,0.733502538071066
chb16,knn,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5714285714285714,0.8571428571428571,0.7142857142857144,0.8,0.7142857142857143
chb17,knn,"{'clf__n_neighbors': 4, 'clf__p': 1, 'clf__weights': 'distance'}",0.8928571428571429,0.75,0.8214285714285715,0.78125,0.8214285714285714
chb18,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9354838709677419,0.967741935483871,0.9516129032258066,0.9666666666666667,0.9516129032258065
chb19,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.8260869565217391,0.9565217391304348,0.891304347826087,0.95,0.8913043478260869
chb20,knn,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8666666666666667,0.8928571428571429
chb21,knn,"{'clf__n_neighbors': 10, 'clf__p': 1, 'clf__weights': 'distance'}",1.0,0.6842105263157895,0.8421052631578947,0.76,0.8421052631578947
chb22,knn,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.95,1.0,0.975,1.0,0.975
chb23,knn,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",1.0,0.9512195121951219,0.975609756097561,0.9534883720930233,0.975609756097561
