patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 50}",1.0,1.0,1.0,1.0,1.0
chb02,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",1.0,1.0,1.0,1.0,1.0
chb03,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 100}",1.0,0.9743589743589743,0.9871794871794871,0.9512195121951219,0.9829059829059829
chb04,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 200}",0.945945945945946,0.972972972972973,0.9594594594594597,0.945945945945946,0.9639639639639641
chb05,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.9454545454545454,1.0,0.9727272727272728,1.0,0.9818181818181818
chb06,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 300}",0.6428571428571429,1.0,0.8214285714285714,1.0,0.8837209302325582
chb07,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.96875,1.0,0.984375,1.0,0.9895833333333334
chb08,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 50}",0.8461538461538461,0.9725274725274724,0.9093406593406594,0.9390243902439024,0.9304029304029304
chb09,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.9629629629629629,1.0,0.9814814814814814,1.0,0.9876543209876543
chb10,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 200}",1.0,1.0,1.0,1.0,1.0
chb11,rnf,"{'clf__max_leaf_nodes': 4, 'clf__n_estimators': 50}",0.9875,1.0,0.99375,1.0,0.9958333333333333
chb13,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 500}",0.8461538461538461,0.9230769230769232,0.8846153846153848,0.8461538461538461,0.8974358974358975
chb14,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.9375,0.9375,0.9375,0.8823529411764706,0.9375
chb15,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.7766497461928934,0.8071065989847716,0.7918781725888324,0.6681222707423581,0.7969543147208121
chb16,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 100}",0.7142857142857143,0.8571428571428571,0.7857142857142858,0.7142857142857143,0.8095238095238095
chb17,rnf,"{'clf__max_leaf_nodes': 64, 'clf__n_estimators': 200}",0.8214285714285714,0.8947368421052632,0.8580827067669173,0.7931034482758621,0.8705882352941177
chb18,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 200}",0.967741935483871,0.9838709677419356,0.9758064516129032,0.967741935483871,0.9784946236559141
chb19,rnf,"{'clf__max_leaf_nodes': 8, 'clf__n_estimators': 50}",1.0,0.9782608695652174,0.9891304347826088,0.9583333333333334,0.9855072463768116
chb20,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 100}",0.9642857142857143,0.9649122807017544,0.9645989974937343,0.9310344827586207,0.9647058823529412
chb21,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 200}",1.0,0.7692307692307693,0.8846153846153846,0.6785714285714286,0.8448275862068966
chb22,rnf,"{'clf__max_leaf_nodes': 32, 'clf__n_estimators': 50}",1.0,1.0,1.0,1.0,1.0
chb23,rnf,"{'clf__max_leaf_nodes': 16, 'clf__n_estimators': 500}",0.9268292682926829,0.9518072289156626,0.9393182486041728,0.9047619047619048,0.9435483870967742
