patient,model,hyperparameters,sensitivity,specificity,roc_auc,precision,accuracy
chb01,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'}",0.9302325581395349,1.0,0.9651162790697674,1.0,0.9979757085020243
chb02,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'}",1.0,0.9986091794158554,0.9993045897079277,0.8888888888888888,0.9986244841815681
chb03,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8461538461538461,0.9965253648366922,0.9213396054952692,0.868421052631579,0.9925575101488497
chb04,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.5675675675675675,0.9991331984975441,0.7833503830325559,0.875,0.994568324757004
chb05,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8909090909090909,0.9979152189020153,0.9444121549055531,0.9423076923076923,0.9939759036144579
chb06,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.35714285714285715,0.9969710082215492,0.6770569326822031,0.2631578947368421,0.9950388265746333
chb07,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.875,0.9990208078335373,0.9370104039167687,0.875,0.9980568375030362
chb08,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.7472527472527473,0.9916724496877168,0.869462598470232,0.85,0.9771540469973891
chb09,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0
chb10,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9772727272727273,1.0,0.9886363636363636,1.0,0.9996578857338351
chb11,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9375,0.9990732159406858,0.9682866079703428,0.9868421052631579,0.994823123382226
chb13,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.6153846153846154,0.9867963863794301,0.8010905008820227,0.6274509803921569,0.9738430583501007
chb14,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.375,0.9986101459346769,0.6868050729673384,0.75,0.9917525773195877
chb15,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.3350253807106599,0.9555246699096595,0.6452750253101596,0.5076923076923077,0.8808068459657702
chb16,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.7142857142857143,1.0,0.8571428571428572,1.0,0.9986168741355463
chb17,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.32142857142857145,0.9925857275254866,0.657007149477029,0.5294117647058824,0.975609756097561
chb18,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.9032258064516129,1.0,0.9516129032258065,1.0,0.9979591836734694
chb19,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.7391304347826086,0.9962928637627433,0.867711649272676,0.8095238095238095,0.9909255898366606
chb20,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.6785714285714286,0.9986101459346769,0.8385907872530528,0.9047619047619048,0.9925017041581459
chb21,svm_rbf,"{'clf__C': 1000, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.42105263157894735,0.9979152189020153,0.7094839252404813,0.7272727272727273,0.99039780521262
chb22,svm_rbf,"{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.95,1.0,0.975,1.0,0.9990900818926297
chb23,svm_rbf,"{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'}",0.6341463414634146,0.99812382739212,0.8161350844277673,0.8125,0.9935165174436554
